polid;politician;firstvote;dateofdeath;w_deflated;dod_father;dod_mother;source_father;source_mother;wealth_father;wealth_mother
00264;Conrad;1893-06-23;1902-08-12;51023,9919;;;;;;
00273;Corver Hooft;1878-05-24;1889-03-16;767431,2080;;;;;;
00279;Cremer;1893-06-23;1923-08-14;NA;;;;;;
00280;Cremers;1878-05-24;1896-10-27;NA;;;;;;
00293;A. van Dedem;1893-06-23;1931-03-01;NA;;;;;;
00294;"G. 
Dedem";1893-06-23;1911-03-18;79085,0752;;;;;;
00299;van Delden;1878-05-24;1898-11-08;107548,2487;;;;;;
00303;van Deventer;1914-06-03;1915-09-27;569962,4480;;;;;;
00318;Dobbelmann;1893-06-23;1912-12-18;1143527,6178;;;;;;
00325;Dolk;1911-03-10;1932-02-26;82963,9248;;;;;;
00334;Donner;1893-06-23;1903-08-31;29700,8111;;;;;;
00337;van Doorn;1914-12-11;1921-04-05;212376,5373;;;;;;
00344;Drion;1914-12-11;1948-12-13;-204,5455;;;;;;
00348;Drucker;1911-03-10;1917-09-05;2193823,8843;;;;;;
00349;Dullert;1878-05-24;1881-02-24;1574421,5402;;;;;;
00354;Duymaer van Twist;1911-03-10;1961-08-07;NA;;;;;;
00356;Duys;1911-03-10;1918-12-06;-3988,1900;;;;;;
00356;Duynstee;1911-03-10;1918-12-06;-3988,1900;;;;;;
00357;Duijs;1916-07-18;1941-09-16;NA;;;;;;
00360;Dijckmeester;1878-05-24;1891-11-09;84325,4771;;;;;;
00368;van Eek;1878-05-24;1895-03-13;291161,5598;;;;;;
00369;Eerdmans;1914-06-03;1948-04-29;NA;;;;;;
00374;Eland;1911-03-10;1927-08-08;9815,6109;;;;;;
00376;Elhorst;1911-03-10;1935-04-22;38359,8272;;;;;;
00397;Farncombe Sanders;1893-06-23;1896-09-07;14176,6313;;;;;;
00400;van der Feltz;1878-05-24;1910-12-02;718305,9942;;;;;;
00404;Ferf;1893-06-23;1916-04-29;NA;;;;;;
00408;Fleskens;1911-03-10;1965-02-01;NA;;;;;;
00410;Fock;1914-06-03;1941-10-17;287363,8177;;;;;;
00417;van Foresst;1911-03-10;1922-09-19;NA;;;;;;
00421;Fransen van de Putte;1878-05-24;1902-03-03;NA;;;;;;
00430;Fruytier;1916-07-18;1929-06-20;NA;;;;;;
00432;de Geer;1911-03-10;1960-11-27;NA;;;;;;
00438;"de Geer 
Jutfaas";1893-06-23;1902-08-07;NA;;;;;;
00447;Gerhard;1914-06-03;1948-07-03;NA;;;;;;
00448;Gerretson;1914-06-03;1930-10-29;-12928,8946;;;;;;
00450;Gerritsen;1893-06-23;1905-07-05;NA;;;;;;
00455;Gevers Deynoot;1878-05-24;1879-03-25;373830,2482;;;;;;
00462;Gleichman;1893-06-23;1906-04-30;676710,4885;;;;;;
00464;Godefroi;1878-05-24;1882-06-25;NA;;;;;;
00468;Goekoop;1893-06-23;1911-10-07;131415,4365;;;;;;
00469;Goeman Borgesius;1878-05-24;1917-01-18;172675,9193;;;;;;
00498;Guyot;1893-06-23;1912-05-06;158794,2203;;;;;;
00500;van Gijn;1893-06-23;1937-09-24;1258608,5701;;;;;;
00508;Haffmans;1878-05-24;1896-09-16;1332,7693;;;;;;
00517;van Hamel;1911-03-10;1917-03-01;47846,8984;;;;;;
00520;van Harinxma thoe Slooten;1878-05-24;1923-11-02;NA;;;;;;
00525;Hartogh;1893-06-23;1901-02-13;302883,8168;;;;;;
00525;Harte;1893-06-23;1901-02-13;302883,8168;;;;;;
00540;Heemskerk;1893-06-23;1932-06-12;NA;;;;;;
00544;Heeres;1914-06-03;1932-02-16;475357,8338;;;;;;
00553;Heldt;1893-06-23;1914-01-13;903,9052;;;;;;
00557;Helsdingen;1911-03-10;1921-08-20;NA;;;;;;
00562;Hennequin;1893-06-23;1912-02-02;NA;;;;;;
00569;van Heukelom;1878-05-24;1880-07-11;454624,6157;;;;;;
00578;Heydenrijck;1878-05-24;1911-09-06;NA;;;;;;
00583;Hingst;1878-05-24;1906-10-18;1178598,6682;;;;;;
00584;Hintzen;1893-06-23;1932-11-18;3938359,6845;;;;;;
00594;Holtzman;1878-05-24;1916-04-01;NA;;;;;;
00601;van Hoogstrate;1911-03-10;1936-06-30;60367,2179;;;;;;
00607;van Houten;1878-05-24;1930-10-14;325285,5308;;;;;;
00609;Houwing;1893-06-23;1907-02-04;44275,4159;;;;;;
00613;Hubrecht;1911-03-10;1926-08-01;2221309,1495;;;;;;
00615;Hugenholtz;1914-06-03;1924-05-13;NA;;;;;;
00624;van Idsinga;1911-03-10;1921-02-22;43601,0346;;;;;;
00625;Idzerda;1878-05-24;1881-12-06;NA;;;;;;
00628;Insinger;1878-05-24;1911-02-20;NA;;;;;;
00634;Jannink;1911-03-10;1942-04-05;77871,0979;;;;;;
00635;vau Veen;1911-03-10;1925-03-24;136719,6859;;;;;;
00638;Janssen;1914-06-03;1952-08-25;NA;;;;;;
00650;de Jong;1878-05-24;1886-12-14;80597,0709;;;;;;
00655;de Jong;1914-06-03;1918-12-14;2853,1385;;;;;;
00656;de Jonge;1878-05-24;1887-07-12;NA;;;;;;
00662;de Jongh;1911-03-10;1917-01-31;70527,2483;;;;;;
00665;Juten;1914-06-03;1929-04-11;45692,4776;;;;;;
00666;van der Kaay;1878-05-24;1918-07-29;4204,7741;;;;;;
00671;de Kanter;1893-06-23;1906-07-14;18801,0429;;;;;;
00672;de Kanter;1911-03-10;1953-05-16;NA;;;;;;
00676;van Karnebeek;1893-06-23;1925-10-09;455776,6191;;;;;;
00682;Kerdijk;1893-06-23;1905-03-14;NA;;;;;;
00684;van Kerkwijk;1878-05-24;1901-05-21;322864,8269;;;;;;
00689;Ketelaar;1911-03-10;1936-06-27;-510,6196;;;;;;
00691;Keuchenius;1893-06-23;1893-12-17;-9470,8049;;;;;;
00696;Kielstra;1893-06-23;1920-06-04;451184,1002;;;;;;
00702;Kleerekoper;1914-12-11;1943-04-14;NA;;;;;;
00704;de Klerk;1911-03-10;1920-07-23;NA;;;;;;
00709;Knobel;1914-06-03;1933-10-16;NA;;;;;;
00727;Kolkman;1893-06-23;1924-02-19;-23658,3484;;;;;;
00733;Kooien;1911-03-10;1945-03-24;NA;;;;;;
00742;Koster;1916-07-18;1947-07-14;NA;;;;;;
00763;van der Kun;1893-06-23;1914-09-27;153509,4064;;;;;;
00766;Kuyper;1911-03-10;1920-11-08;112403,9687;;;;;;
00772;J. ter Laan;1914-06-03;1956-08-09;NA;;;;;;
00773;K. ter Laan;1914-06-03;1963-03-06;NA;;;;;;
00778;Lambrechts;1878-05-24;1896-11-25;57423,6632;;;;;;
00781;Land;1893-06-23;1894-10-07;-17772,7492;;;;;;
00796;van Leeuwen;1914-12-11;1922-10-13;10170,7210;;;;;;
00806;van Lennep;1911-03-10;1928-05-10;NA;;;;;;
00808;Lenting;1878-05-24;1881-11-20;18194,6546;;;;;;
00809;Levy;1893-06-23;1920-03-17;27928,9629;;;;;;
00815;Lieftinck;1893-06-23;1917-07-07;102237,6349;;;;;;
00822;Limburg;1911-03-10;1940-05-15;NA;;;;;;
00833;van Löben Sels;1893-06-23;1923-03-18;NA;;;;;;
00835;Loeff;1911-03-10;1921-07-10;53429,0196;;;;;;
00849;Lucasse;1893-06-23;1926-03-10;152126,1469;;;;;;
00851;Luyben;1878-05-24;1902-06-09;112294,8860;;;;;;
00858;van Lynden van Sandenburg;1911-03-10;1932-12-25;1892869,1358;;;;;;
00862;Maekay;1878-05-24;1909-11-13;246824,8431;;;;;;
00864;T. Mackay;1893-06-23;1922-11-29;172732,9902;;;;;;
00875;Marchant;1914-06-03;1956-05-12;NA;;;;;;
00889;Mees;1878-05-24;1915-06-04;302533,5184;;;;;;
00892;de Meester;1914-06-03;1919-12-27;36110,9615;;;;;;
00902;Mendels;1914-12-11;1944-06-03;NA;;;;;;
00917;de Meijier;1878-05-24;1909-03-23;191278,5511;;;;;;
00925;Middelberg;1911-03-10;1916-03-06;165127,2926;;;;;;
00930;Mirandolle;1878-05-24;1884-06-21;571428,9418;;;;;;
00931;Moens;1878-05-24;1899-06-24;1981,0675;;;;;;
00931;Korens de Wijlre;1878-05-24;1899-06-24;1981,0675;;;;;;
00940;de Monte verLoren;1911-03-10;1925-04-30;42086,1433;;;;;;
00949;de Muralt;1914-06-03;1936-11-07;34969,3941;;;;;;
00951;Mutsaers;1893-06-23;1907-02-12;36292,9523;;;;;;
00967;Nierstrasz;1914-06-03;1939-07-07;129709,6883;;;;;;
00973;van Nispen tot Sevenaer;1878-05-24;1884-04-03;512511,2609;;;;;;
00975;J.W.J.C.M. van Nispen tot Sevenaer;1911-03-10;1917-01-10;910006,5850;;;;;;
00977;O.F.A.M. van Nispen tot Sevenaer;1911-03-10;1956-10-30;NA;;;;;;
00981;Nolens;1911-03-10;1931-08-27;5010,2110;;;;;;
00998;Oldenhuis gratama;1878-05-24;1887-07-05;136267,3763;;;;;;
01003;ter Laan;1911-03-10;1917-07-27;3987,6857;;;;;;
01009;Otto;1914-06-03;1954-05-07;NA;;;;;;
01022;Patijn;1878-05-24;1911-03-27;706283,8063;;;;;;
01023;Patijn;1911-03-10;1956-05-23;NA;;;;;;
01036;Plate;1893-06-23;1927-12-23;2746,0627;;;;;;
01042;Poelman;1893-06-23;1893-10-14;NA;;;;;;
01067;Pijnacker Hordijk;1893-06-23;1918-08-09;1059407,6113;;;;;;
01069;Pyttersen;1893-06-23;1919-09-10;6319,2334;;;;;;
01075;van Raalte;1914-06-03;1921-03-23;63356,2822;;;;;;
01079;de Ram;1911-03-10;1917-07-04;-42815,0245;;;;;;
01085;de Ras;1893-06-23;1920-05-04;9787,7410;;;;;;
01091;Reekers;1878-05-24;1922-05-27;156044,6016;;;;;;
01113;Rink;1893-06-23;1941-08-06;NA;;;;;;
01118;Roell;1878-05-24;1914-07-13;559625,9961;;;;;;
01120;Roessingh;1893-06-23;1916-12-19;19141,0494;;;;;;
01121;Rombach;1878-05-24;1891-04-24;341199,1228;;;;;;
01124;Roodenburg;1914-06-03;1929-04-13;146871,8499;;;;;;
01125;Roodkuyzen;1911-03-10;1933-11-20;726,1250;;;;;;
01135;Roijaards van den Ham;1893-06-23;1897-03-02;2918301,2418;;;;;;
01142;de Ruiter Zylker;1878-05-24;1892-10-24;-5424,4961;;;;;;
01147;Rutgers;1914-06-03;1945-02-05;NA;;;;;;
01148;Rutgers van Rozenburg;1893-06-23;1902-10-31;1014556,7301;;;;;;
01152;Ruys de Beerenbrouck;1914-06-03;1936-04-17;NA;;;;;;
01166;Saaymans Vader;1878-05-24;1891-03-18;NA;;;;;;
01168;Sandberg;1878-05-24;1906-02-15;705802,3328;;;;;;
01170;Sannes;1914-06-03;1930-01-02;8449,3738;;;;;;
01172;van Sasse van Ysselt;1911-03-10;1939-08-06;NA;;;;;;
01177;de Savornin Lohman;1911-03-10;1924-06-11;96084,4329;;;;;;
01180;Schaepman;1893-06-23;1903-01-21;NA;;;;;;
01183;Schagen van Leeuwen;1878-05-24;1906-09-15;NA;;;;;;
01189;Schaper;1911-03-10;1934-08-31;3051,3817;;;;;;
01191;Schepel;1878-05-24;1909-03-02;20508,0717;;;;;;
01194;Scheurer;1914-06-03;1928-06-20;NA;;;;;;
01198;Schim van der Loeff;1914-06-03;1923-02-10;NA;;;;;;
01201;Schimmelpenninck;1914-06-03;1929-12-13;NA;;;;;;
01203;Schimmelpenninck van der Oye;1878-05-24;1918-06-19;1331755,2223;;;;;;
01203;Schimmelpenninck;1878-05-24;1918-06-19;1331755,2223;;;;;;
01204;Schimmelpenninck van der Oye;1893-06-23;1914-04-11;NA;;;;;;
01229;van der Schrieck;1878-05-24;1896-03-05;35968,1288;;;;;;
01238;Seret;1893-06-23;1912-12-23;4469,1506;;;;;;
01246;Sickesz;1878-05-24;1904-02-19;273139,8114;;;;;;
01269;Smeenge;1893-06-23;1935-05-09;NA;;;;;;
01271;Smidt;1911-03-10;1925-11-14;134249,3782;;;;;;
01273;Smit;1893-06-23;1935-05-10;118415,3740;;;;;;
01280;Smits van Oijen;1893-06-23;1898-10-12;491000,2060;;;;;;
01283;Snoeck Henkemans;1911-03-10;1945-05-24;26498,3593;;;;;;
01288;Spiekman;1914-06-03;1917-11-18;13107,4653;;;;;;
01303;Stieltjes;1878-05-24;1878-06-23;0,0000;;;;;;
01311;van Stolk;1878-05-24;1880-07-30;174077,2567;;;;;;
01320;ter Spul;1914-06-03;1916-03-21;1386797,6570;;;;;;
01343;Tedinjg van Berkhout;1878-05-24;1880-07-25;NA;;;;;;
01344;Teenstra;1911-03-10;1958-05-24;NA;;;;;;
01347;van den Tempel;1916-07-18;1955-06-27;NA;;;;;;
01359;Thomson;1911-03-10;1914-06-15;NA;;;;;;
01365;van Tienlioven;1878-05-24;1914-10-10;365691,4057;;;;;;
01374;Travaglino;1893-06-23;1905-05-23;621115,0185;;;;;;
01375;Treub;1911-03-10;1931-07-24;53244,7764;;;;;;
01376;Troelstra;1914-12-11;1930-05-12;6642,7788;;;;;;
01384;Tydeman;1893-06-23;1916-11-04;949172,8702;;;;;;
01385;Tijdens;1893-06-23;1904-05-28;NA;;;;;;
01389;Valette;1893-06-23;1935-11-17;12651,3721;;;;;;
01391;Veegens;1893-06-23;1910-12-27;47809,3650;;;;;;
01392;van Veen;1914-12-11;1929-05-01;92058,5637;;;;;;
01400;van de Velde;1893-06-23;1919-05-28;301151,7266;;;;;;
01404;van Velzen;1893-06-23;1913-02-13;181410,5326;;;;;;
01405;Vening Meinesz;1878-05-24;1909-12-26;48096,1323;;;;;;
01411;Verheij;1911-03-10;1913-05-04;12621,6737;;;;;;
01414;Verheijen;1878-05-24;1898-01-11;86847,5857;;;;;;
01422;Vermeulen;1893-06-23;1913-10-09;58959,4628;;;;;;
01424;Verniers van der Loeff;1878-05-24;1891-01-22;252181,1698;;;;;;
01437;Viruly Verbrugge;1878-05-24;1908-12-10;579068,3576;;;;;;
01445;Visser van IJzendcorn;1914-06-03;1924-09-23;317411,1734;;;;;;
01446;de Visser;1911-03-10;1932-04-14;31294,4832;;;;;;
01451;Vliegen;1911-03-10;1947-06-29;NA;;;;;;
01454;van Vliet;1911-03-10;1941-12-19;NA;;;;;;
01456;de Vlugt;1911-03-10;1945-02-10;NA;;;;;;
01458;van Vlijmen;1893-06-23;1919-12-17;753,9477;;;;;;
01460;van Vollenhoven;1914-06-03;1923-11-26;110230,9754;;;;;;
01470;van der Voort van Zijp;1911-03-10;1935-09-28;NA;;;;;;
01479;de Vos van Steenwijk;1878-05-24;1897-10-10;261447,2069;;;;;;
01494;van Vuuren;1911-03-10;1932-04-02;33061,8547;;;;;;
01507;Walter;1893-06-23;1900-01-23;14338,5300;;;;;;
01509;van Wassenaer van Catwijck;1878-05-24;1887-11-19;490328,3326;;;;;;
01510;van Wassenaer van Catwijck;1911-03-10;1939-11-06;702439,6723;;;;;;
01522;van de Werk;1878-05-24;1926-01-23;66403,8152;;;;;;
01538;van Wichen;1914-06-03;1920-03-06;NA;;;;;;
01557;Wintgens;1878-05-24;1895-01-12;772969,8975;;;;;;
01572;Wybenga;1878-05-24;1886-09-09;NA;;;;;;
01580;de Wijkorslooth de Weerdesteyn;1911-03-10;1936-05-16;427615,6366;;;;;;
01583;van Wijnbergen;1911-03-10;1950-03-01;NA;;;;;;
01601;van Zinnicq Bergmann;1878-05-24;1879-02-25;156458,2225;;;;;;
01613;Zijp;1893-06-23;1897-09-17;63219,2497;;;;;;
