"","name.x","name_match","id_match","X1860.1864","X1864.1866","X1866.1868","X1868.1871","X1871.1875","X1875.1879","X1879.1883","X1883.1884","X1884.1886","X1886.1887","X1887.1888","X1888.1891","X1891.1894","X1894.1897","X1897.1901","X1901.1905","X1905.1909","X1909.1913","X1913.1917","X1917.1918","X1918.1922","name.y","achternaam","voorletters","voorna(a)m(en)","roepnaam","prepositie","geslacht","partij(en)/fractie(s)","begin periode","einde periode","year","month","day","re","dugobo","fogobo","duprbo","foprbo","dush","fosh","cash","misc","debt","ta11","tl11","nw11","ta0","tl0","nw0","function","yod","placeofd","yob","aod","polparty","poldir","activityst","activityend","beginyr","endyr","tenure","w_deflated","w_deflated2","harnas2","harnas5"
"11","Klaas de Boer Czn.","Klaas Boer","00144",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,"Klaas Boer","Boer","K.","Klaas",NA,"de","m","Radicale Bond;vrijzinnig-democratische kamerclub;Liberale Unie","1894-05-16","1909-09-20","1909","09","20",4000,12880,0,40319,0,20237,0,825,0,-10863.14,78252.71,-10863.14,33414.69,39116.36,-5751.67,33404.69,"1e kamerlid, 2e kamerlid",1936,"nh",1852,84,"liberaal","liberal","16-05-1894","23-07-1922",1894,1922,28,28036.9007851449,28045.2938882646,0,0
"12","Jean Arnoldts","Marie Joseph Goswin Jean Arnoldts","00032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Marie Joseph Goswin Jean Arnoldts","Arnoldts","M.J.G.J.","Marie Joseph Goswin Jean","Jean",NA,"m","Rooms-Katholieken","1901-09-17","1903-06-27","1903","06","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Piet Aalberse ","Petrus Josephus Matthe�s Aalberse","00001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,"Petrus Josephus Mattheüs Aalberse","Aalberse","P.J.M.","Petrus Josephus Mattheüs","Piet",NA,"m","Rooms-Katholieken;Algemeene Bond (RKSP);RKSP","1903-02-24","1937-11-08","1937","11","08",25000,4914,10,7382,0,15983,0,200,5585,-16800.82,59078.29,-16800.82,21138.73,29539.14,-100082.39,19456.57,"miniser, 2e kamerlid",1948,"zh",1871,77,"Algemeene Bond (RKSP)","conservatief","24-02-1903","08-11-1937",1903,1937,34,9707.89967416739,10547.2172165655,0,0
"14","Antoine Arts","Antonius Henricus Arnoldus Arts","00034",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Antonius Henricus Arnoldus Arts","Arts","A.H.A.","Antonius Henricus Arnoldus","Antoine",NA,"m","Rooms-Katholieken;Algemeene Bond (RKSP)","1901-12-18","1922-07-23","1922","07","23",104000,47271,222,130246,23,34909,0,24037,26036,-43327,366816.595,-44028.51,159595.93,183610.29,-24013.36,158696.13,"2e kamerlid",1926,"nb",1845,81,"Rooms-Katholieken;Algemeene Bond (RKSP)","conservatief","18-12-1901","23-07-1922",1901,1922,21,109770.6612397,110393.056007509,0,1
"15","Warnardus Cornelis Mathildus Begram","Warnardus Cornelis Mathildus Begram","00082",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Warnardus Cornelis Mathildus Begram","Begram","W.C.M.","Warnardus Cornelis Mathildus",NA,NA,"m","conservatief","1859-02-15","1879-09-14","1879","09","14",926450,20773.75,304.75,186795.92,0,20898,0,0,12091.5,-37857.13,1167314.73,-37857.13,1129457.6,1162110.36,-37857.13,1124255.22,"2e kamerlid",1890,"zh",1823,67,"conservatief","conservatief","15-02-1859","14-09-1879",1859,1879,20,1205223.04883341,1210800.09946502,0,0
"16","Johannes Baptista Bots","Johannes Baptista Bots","00186",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Johannes Baptista Bots","Bots","J.B.","Johannes Baptista",NA,NA,"m","liberaal;Thorbeckiaan","1847-10-18","1873-09-14","1873","09","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Jan Hendrik Arnoldts","Jan Hendrik Arnoldts","00031",0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jan Hendrik Arnoldts","Arnoldts","J.H.","Jan Hendrik",NA,NA,"m","conservatief (katholiek)","1871-04-18","1881-12-18","1881","12","18",46834,0,0,130,0,0,0,0,1075,-8979.74,48039.75,-8979.74,34066.69,45039.75,-10973.06,34066.69,"2e kamerlid",1881,"lb",1808,73,"conservatief (katholiek)","conservatief","18-04-1871","18-12-1881",1871,1881,10,28952.2244762451,28952.2244762451,1,1
"18","Titus van Asch van Wijck","Titus Anthony Jacob Asch van Wijck","00042",0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Titus Anthony Jacob Asch van Wijck","Asch van Wijck","T.A.J.","Titus Anthony Jacob","Titus","van","m","antirevolutionair","1881-09-19","1891-05-11","1891","05","11",0,209,0,1250,0,3068.35,33,916.25,24000,-131074.82,29550.2,-131074.82,-101524.61,29550.2,-131074.81,-101524.62,"1e kamerlid, 2e kamerlid, minister",1902,"zh",1849,53,"ARP","conservatief","19-09-1881","08-09-1902",1881,1902,21,-110448.686191995,-110448.67531299,1,1
"19","Jan van Alphen","Jan Alphen","00019",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,"Jan Alphen","Alphen","J.","Jan","Jan","van","m","antirevolutionair;ARP","1884-12-08","1908-09-08","1908","09","08",105745,3457.75,3755,52325.91,0,1611.95,367,321.21,10536.49,-8109.16,178082.32,-7956.4,169925.83,178071.32,-8155.49,169915.83,"2e kamerlid",1911,"ov",1829,82,"antirevolutionair;ARP","conservatief","08-12-1884","08-09-1908",1884,1908,24,167490.518865321,167500.376129289,0,1
"20","Bernardus Marie Bahlmann","Bernardus Marie Bahlmann","00057",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,"Bernardus Marie Bahlmann","Bahlmann","B.M.","Bernardus Marie",NA,NA,"m","Rooms-Katholieken;Bahlmanniaan ('Centrum')","1880-12-13","1898-05-12","1898","05","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Samuel van den Bergh","Samuel Bergh","00097",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Samuel Bergh","Bergh","S.","Samuel","Samuel","van den","m","Liberale Unie","1905-09-19","1909-09-20","1909","09","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Hubert van Asch van Wijck","Hubert Willem Asch van Wijck","00039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,"Hubert Willem Asch van Wijck","Asch van Wijck","H.W.","Hubert Willem","Hubert","van","m","ARP","1901-09-17","1913-09-15","1913","09","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Willem Dolk","Willem Dolk","00325",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,"Willem Dolk","Dolk","W.","Willem",NA,NA,"m","Liberale Unie","1902-09-18","1916-11-23","1916","11","23",25000,0,0,1901,0,144939,0,495,8942,-76116.51,181314.71,-76166.51,105198.2,181314.71,-76357.13,104957.58,"2e kamerlid",1932,"zh",1853,79,"Liberale Unie","liberal","18-09-1902","23-11-1916",1902,1916,14,82963.9247858442,83154.1233363631,0,0
"24","Willem Theodorus Cornelis van Doorn","Willem Theodoor Cornelis Doorn","00337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Willem Theodoor Cornelis Doorn","Doorn","W.Th.C.","Willem Theodoor Cornelis",NA,"van","m","Liberale Unie","1905-09-19","1921-04-04","1921","04","04",113980.2,21588.25,8825.16,95977.15,10260.75,59154.5,7408,1427.54,31923.5,-6373.77,350382.2,-6373.77,344088.43,350381.51,-6373.77,344007.73,"2e kamerlid",1921,"zh",1853,68,"Liberale Unie","liberal","19-09-1905","04-04-1921",1905,1921,16,212376.53731242,212426.358246854,1,1
"25","Willem Albarda ","Johan Willem Albarda","00011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"Johan Willem Albarda","Albarda","J.W.","Johan Willem","Willem",NA,"m","SDAP","1913-09-16","1939-08-09","1939","08","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Gerardus Henri Betz","Gerardus Henri Betz","00105",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gerardus Henri Betz","Betz","G.H.","Gerardus Henri",NA,NA,"m","Thorbeckiaan","1859-02-15","1862-01-31","1862","01","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Jouwert Andreae","Jouwert Andreae","00023",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jouwert Andreae","Andreae","J.","Jouwert",NA,NA,"m","conservatief","1865-12-11","1866-09-30","1866","09","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Charles Antoine de Bieberstein Rogalla Zawadsky","Charles Antoine Bieberstein Rogalla Zawadsky","00113",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Charles Antoine Bieberstein Rogalla Zawadsky","Bieberstein Rogalla Zawadsky","Ch.A.","Charles Antoine",NA,"baron de","m","Thorbeckiaan;liberaal;conservatief (katholiek)","1858-09-20","1880-10-30","1880","10","30",605214,5025,112215,179402,4967,22893,33564,18140,22456,-21240.24,608656.44,-21240.24,587415.2,718655.45,-21240.24,697415.21,"2e kamerlid",1880,"lb",1796,84,"Thorbeckiaan;liberaal;conservatief (katholiek)","liberal","20-09-1858","1880-10-30",1858,1880,22,628554.826830324,529415.8401184,1,1
"29","Matthias Margarethus van Asch van Wijck","Matthias Margarethus Asch van Wijck","00041",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matthias Margarethus Asch van Wijck","Asch van Wijck","M.M.","Matthias Margarethus",NA,"van","m","antirevolutionair","1874-09-24","1882-09-19","1882","09","19",38950,2380.25,23779.09,31374.38,5666,34121,20938,0,1851.5,12401.14,144133.33,-3984.83,140084.99,144133.33,-3984.83,140043.99,"2e kamerlid",1882,"ut",1816,66,"antirevolutionair","conservatief","24-09-1874","19-09-1882",1874,1882,8,118021.431911329,118055.984473766,1,1
"30","Antonius van Baar","Antonius Johannes Hubertus Baar","00049",0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"Antonius Johannes Hubertus Baar","Baar","A.J.H.","Antonius Johannes Hubertus",NA,"van","m","conservatief (katholiek);Bahlmanniaan ('Centrum')","1873-09-15","1889-01-25","1889","01","25",101945,8303,33993,46177,2327,74,20844,5189,7179,-17375,163011.79,-29742.5525,156309.38,195873.165,-29742.5525,171130.6025,"2e kamerlid",1889,"nb",1816,73,"conservatief (katholiek);Bahlmanniaan ('Centrum')","conservatief","15-09-1873","25-01-1889",1873,1889,16,183627.382468442,167723.842990999,1,1
"31","Egbertus Johannes Beumer","Egbertus Johannes Beumer","00106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"Egbertus Johannes Beumer","Beumer","E.J.","Egbertus Johannes",NA,NA,"m","ARP","1913-09-16","1933-05-08","1933","05","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Schelto van Heemstra ","Schelto Heemstra","00542",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,"Schelto Heemstra","Heemstra","S.","Schelto",NA,"baron van","m","liberaal;'pragmatisch' liberaal","1844-10-22","1864-12-19","1864","12","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Willem Maurits de Brauw ","Willem Maurits Brauw","00201",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Willem Maurits Brauw","Brauw","W.M.","Willem Maurits",NA,"de","m","conservatief (protestants)","1853-06-14","1874-01-16","1874","01","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Ferdinand Hendrik Hubert Borret","Ferdinandus Hendricus Hubertus Borret","00168",0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Ferdinandus Hendricus Hubertus Borret","Borret","F.H.H.","Ferdinandus Hendricus Hubertus",NA,NA,"m","conservatief (katholiek);Bahlmanniaan ('Centrum')","1868-02-25","1888-03-26","1888","03","26",35078,21520,16249,17441,23663,8884,0,800,10794,-835,67210.88,-841.555,66369.325,67531.715,-841.555,66690.16,"2e kamerlid",1900,"nb",1819,81,"conservatief (katholiek);Bahlmanniaan ('Centrum')","conservatief","25-02-1868","26-03-1888",1868,1888,20,66690.16,66369.325,0,0
"35","Jacob Leonard de Bruyn Kops","Jacob Leonard Bruijn Kops","00232",0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Jacob Leonard Bruijn Kops","Bruijn Kops","J.L.","Jacob Leonard",NA,"de","m","liberaal;Kappeynianen;Liberale Unie","1868-02-25","1887-08-16","1887","08","16",26000,0,421.6,1054,4,34242.8,0,2975.53,4330.18,-41805.81,69038.26,-41805.81,27232.45,69038.26,-41805.81,27232.45,"2e kamerlid",1887,"zh",1822,65,"liberaal;Kappeynianen;Liberale Unie","liberal","25-02-1868","16-08-1887",1868,1887,19,28698.1046156501,28698.1046156501,1,1
"36","Age Buma","Age Buma","00239",0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"Age Buma","Buma","A.","Age",NA,NA,"m","Kappeynianen;Liberale Unie","1882-01-27","1888-03-26","1888","03","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Arnoldus Hyacinthus Maria van Berckel","Arnoldus Hyacinthus Maria Berckel","00089",0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,"Arnoldus Hyacinthus Maria Berckel","Berckel","A.H.M.","Arnoldus Hyacinthus Maria",NA,"van","m","Schaepmaniaan","1883-09-17","1897-09-20","1897","09","20",0,5000,0,30100,0,24434.12,0,3150,13382.94,-26096.91,76967.06,-26096.91,41260.15,67257.06,-26096.91,41260.15,"1e kamerlid, 2e kamerlid, gedeputeerde",1915,"ge",1847,68,"Rooms-Katholieken;Algemeene Bond (RKSP)","conservatief","17-09-1883","23-06-1907",1883,1907,24,34066.673562278,34066.673562278,0,0
"38","Dirk Bos","Dirk Bos","00175",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,"Dirk Bos","Bos","D.","Dirk","Dirk",NA,"m","VDB","1901-09-17","1916-05-05","1916","05","05",0,4005,57,29307,0,81946,0,0,23290,-23364.75,139068.98,-23364.75,115804.22,56310,-15959,40350.64,"2e kamerlid",1916,"zh",1862,54,"VDB","socialist","17-09-1901","05-05-1916",1901,1916,15,30859.8645851095,88566.1924466188,1,1
"39","Zadok van den Bergh","Zadok Bergh","00099",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Zadok Bergh","Bergh","Z.","Zadok","Zadok","van den","m","VDB","1905-09-19","1909-09-20","1909","09","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Jan Ankerman ","Jan Ankerman","00029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Jan Ankerman","Ankerman","J.","Jan","Jan",NA,"m","CHU","1909-09-21","1922-07-23","1922","07","23",0,0,0,254,0,5408,0,0,50,-10261.8,5714,-10261.8,-4547.68,5714.08,-10261.76,-4547.68,"2e kamerlid",1928,"zh",1869,59,"CHU","conservatief","21-09-1909","23-07-1922",1909,1922,13,-3145.64596317856,-3145.64596317856,0,0
"41","Jouke Bakker","Jouke Annes Bakker","00059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Jouke Annes Bakker","Bakker","J.A.","Jouke Annes","Jouke",NA,"m","CHU","1918-10-30","1945-07-11","1945","07","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Pieter Bluss� van Oud-Alblas","Pieter Bluss� van Oud-Alblas","00138",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Pieter Blussé van Oud-Alblas","Blussé van Oud-Alblas","P.","Pieter",NA,NA,"m","Thorbeckiaan;liberaal;Liberale Unie","1850-10-07","1887-05-18","1887","05","18",144886.66,3000,52722,16285,0,34759,0,2593,6082,-4418.43,260531.17,-4418.43,256112.74,260531.17,-4418.43,256112.74,"2e kamerlid, minister",1887,"zh",1812,75,"liberaal","liberal","07-10-1850","18-05-1887",1850,1887,37,269896.766758804,269896.766758804,1,1
"43","Hubert Alexander Maurits van Asch van Wijck ","Hubert Alexander Maurits Asch van Wijck","00037",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hubert Alexander Maurits Asch van Wijck","Asch van Wijck","H.A.M.","Hubert Alexander Maurits",NA,"van","m","antirevolutionair","1853-06-14","1866-09-18","1866","09","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Jeronimo de Bosch Kemper","Jeronimo Bosch Kemper","00178",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jeronimo Bosch Kemper","Bosch Kemper","J.","Jeronimo",NA,"de","m","moderaat of gematigd liberaal;conservatief-liberaal","1848-09-18","1869-09-19","1869","09","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Jacob Nicolaas Bastert","Jacob Nicolaas Bastert","00066",0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,"Jacob Nicolaas Bastert","Bastert","J.N.","Jacob Nicolaas",NA,NA,"m","conservatief-liberaal","1875-09-20","1901-09-16","1901","09","16",288418.71,200,9725.8,36335.5,2926,190022.5,0,4614,39327,-164635.62,341676.97,-164635.62,177041.35,352096,-164635,187460.88,"2e kamerlid, minister, gedeputeerde",1902,"ut",1826,76,"conservatief-liberaal","conservatief","20-09-1875","16-09-1901",1875,1901,26,203938.78754134,192603.375507904,1,1
"46","Fran�ois de Casembroot","Fran�ois Casembroot","00255",0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"François Casembroot","Casembroot","F.","François",NA,"de","m","conservatief","1866-09-19","1883-09-16","1883","09","16",0,0,0,670,0,0,0,593.75,390,0,1493.75,0,1493.75,1493.75,0,1493.75,"2e kamerlid",1895,"zh",1817,78,"conservatief","conservatief","19-09-1866","16-09-1883",1866,1883,17,1836.93260914725,1836.93260914725,0,0
"47","Jan Reijnaud Corver Hooft","Jan Reijnaud Corver Hooft","00273",0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Jan Reijnaud Corver Hooft","Corver Hooft","J.R.","Jan Reijnaud",NA,NA,"m","conservatief","1875-09-20","1887-08-16","1887","08","16",438401,2807,139865,49123,20546,46618,0,8886,23330,-8520,724127.4,-8923.8,715203.6,724127.4,-8923.8,715203.6,"2e kamerlid",1889,"nh",1821,68,"conservatief","conservatief","20-09-1875","16-08-1887",1875,1887,12,767431.207986347,767431.207986347,1,1
